INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162016080,1815,Drug Violation,DRUGS - POSSESSION,E5,713,,2/29/16 14:20,2016,2,Monday,14,Part Two,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I162015946,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11, ,Y,2/29/16 1:34,2016,2,Monday,1,Part Two,DABNEY ST,42.29722832,-71.06103916,"(42.29722832, -71.06103916)"
I162015892,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,E13, ,,2/28/16 19:27,2016,2,Sunday,19,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(0.00000000, 0.00000000)"
I162015891,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B3,463,,2/28/16 18:40,2016,2,Sunday,18,Part Two,FRANKLIN HILL AVE,42.29421629,-71.08884654,"(42.29421629, -71.08884654)"
I162015884,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1, ,,2/28/16 18:10,2016,2,Sunday,18,Part Two,MORTON ST,42.2806123,-71.08350146,"(0.00000000, 0.00000000)"
I162015884,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1, ,,2/28/16 18:10,2016,2,Sunday,18,Part Two,HEAD PL,,,"(0.00000000, 0.00000000)"
I162015862,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,C6,914,,2/28/16 16:31,2016,2,Sunday,16,Part Two,MONSIGNOR DENNIS F O'CALL,42.32476494,-71.05340359,"(42.32476494, -71.05340359)"
I162015860,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C6,200,,2/28/16 16:52,2016,2,Sunday,16,Part Two,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I162015854,1874,Drug Violation,DRUGS - OTHER,E18,520,,2/28/16 0:00,2016,2,Sunday,0,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I162015830,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,D14,816,,2/27/16 20:00,2016,2,Saturday,20,Part Two,MANSFIELD ST,42.35840895,-71.1313596,"(42.35840895, -71.13135960)"
I162015830,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14,816,,2/27/16 20:00,2016,2,Saturday,20,Part Two,MANSFIELD ST,42.35840895,-71.1313596,"(42.35840895, -71.13135960)"
I162015830,1844,Drug Violation,DRUGS - POSS CLASS C,D14,816,,2/27/16 20:00,2016,2,Saturday,20,Part Two,MANSFIELD ST,42.35840895,-71.1313596,"(42.35840895, -71.13135960)"
I162015789,1845,Drug Violation,DRUGS - POSS CLASS D,B2,311,,2/28/16 12:06,2016,2,Sunday,12,Part Two,WARREN ST,42.31940816,-71.08140505,"(42.31940816, -71.08140505)"
I162015737,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,116,,2/28/16 3:10,2016,2,Sunday,3,Part Two,ESSEX ST,42.35235362,-71.05815283,"(42.35235362, -71.05815283)"
I162015705,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,333,,2/28/16 1:23,2016,2,Sunday,1,Part Two,STANLEY ST,42.31022576,-71.06905888,"(42.31022576, -71.06905888)"
I162015680,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,B2,328,,2/27/16 22:38,2016,2,Saturday,22,Part Two,QUINCY ST,42.31252546,-71.07389321,"(42.31252546, -71.07389321)"
I162015648,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A15,39,,2/27/16 20:34,2016,2,Saturday,20,Part Two,CHARLES RIVER AVE,42.37056285,-71.06077324,"(42.37056285, -71.06077324)"
I162015646,1874,Drug Violation,DRUGS - OTHER,A7,28,,2/27/16 20:38,2016,2,Saturday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162015608,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,235,,2/27/16 16:17,2016,2,Saturday,16,Part Two,BUTTONWOOD ST,42.32108023,-71.05588146,"(42.32108023, -71.05588146)"
I162015608,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,235,,2/27/16 16:17,2016,2,Saturday,16,Part Two,BUTTONWOOD ST,42.32108023,-71.05588146,"(42.32108023, -71.05588146)"
I162015608,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,235,,2/27/16 16:17,2016,2,Saturday,16,Part Two,BUTTONWOOD ST,42.32108023,-71.05588146,"(42.32108023, -71.05588146)"
I162015606,1874,Drug Violation,DRUGS - OTHER,E18,520,,2/27/16 16:00,2016,2,Saturday,16,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I162015604,1815,Drug Violation,DRUGS - POSSESSION,E18,520,,2/27/16 16:00,2016,2,Saturday,16,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I162015592,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1, ,,2/27/16 16:35,2016,2,Saturday,16,Part Two,ESSEX ST,42.35246671,-71.06167002,"(0.00000000, 0.00000000)"
I162015592,1874,Drug Violation,DRUGS - OTHER,A1, ,,2/27/16 16:35,2016,2,Saturday,16,Part Two,BOYLSTON ST,42.3523414,-71.06296987,"(0.00000000, 0.00000000)"
I162015573,1874,Drug Violation,DRUGS - OTHER,C6,200,,2/27/16 15:05,2016,2,Saturday,15,Part Two,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I162015572,1874,Drug Violation,DRUGS - OTHER,C6,200,,2/27/16 15:30,2016,2,Saturday,15,Part Two,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I162015571,1874,Drug Violation,DRUGS - OTHER,C6,200,,2/27/16 14:30,2016,2,Saturday,14,Part Two,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I162015568,1845,Drug Violation,DRUGS - POSS CLASS D,B2,592,,2/27/16 15:35,2016,2,Saturday,15,Part Two,HYDE PARK AVE,42.2518944,-71.1253531,"(42.25189440, -71.12535310)"
I162015568,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,592,,2/27/16 15:35,2016,2,Saturday,15,Part Two,HYDE PARK AVE,42.2518944,-71.1253531,"(42.25189440, -71.12535310)"
192083139,3301,Drug Violation,VERBAL DISPUTE,C6,186,0,10/14/19 12:48,2019,10,Monday,12,Part Two,W HOWELL ST,42.310434,-71.0613401,"(0.00000000, 0.00000000)"
I162015490,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,D4,179,,2/27/16 11:05,2016,2,Saturday,11,Part Two,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)"
I162015490,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,D4,179,,2/27/16 11:05,2016,2,Saturday,11,Part Two,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)"
I162015490,1846,Drug Violation,DRUGS - POSS CLASS E,D4,179,,2/27/16 11:05,2016,2,Saturday,11,Part Two,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)"
I162015466,1846,Drug Violation,DRUGS - POSS CLASS E,D4,179,,2/27/16 10:00,2016,2,Saturday,10,Part Two,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)"
I162015442,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,123,,2/27/16 0:22,2016,2,Saturday,0,Part Two,WASHINGTON ST,42.28816791,-71.08760718,"(0.00000000, 0.00000000)"
I162015345,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A15,42,,2/26/16 18:14,2016,2,Friday,18,Part Two,MEDFORD ST,42.37913651,-71.05648765,"(42.37913651, -71.05648765)"
I162015345,1874,Drug Violation,DRUGS - OTHER,A15,42,,2/26/16 18:14,2016,2,Friday,18,Part Two,MEDFORD ST,42.37913651,-71.05648765,"(42.37913651, -71.05648765)"
I162015343,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,77,,2/26/16 0:00,2016,2,Friday,0,Part Two,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I162015314,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2,180,,2/26/16 17:15,2016,2,Friday,17,Part Two,GERARD ST,42.32720854,-71.07334458,"(42.32720854, -71.07334458)"
I162015304,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,D4,167,,2/26/16 18:30,2016,2,Friday,18,Part Two,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162015303,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,106,,2/26/16 17:13,2016,2,Friday,17,Part Two,ATLANTIC AVE,42.35218278,-71.0556788,"(42.35218278, -71.05567880)"
I162015302,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A15,900,,2/26/16 17:55,2016,2,Friday,17,Part Two,DECATUR ST,42.37829205,-71.05387024,"(42.37829205, -71.05387024)"
I162015284,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,355,,2/26/16 17:20,2016,2,Friday,17,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I162015270,1874,Drug Violation,DRUGS - OTHER,E18,520,,2/26/16 16:39,2016,2,Friday,16,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I162015256,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,365,,2/26/16 14:56,2016,2,Friday,14,Part Two,GLENROSE RD,42.29168072,-71.05847274,"(42.29168072, -71.05847274)"
I162015213,1846,Drug Violation,DRUGS - POSS CLASS E,D14,766,,2/26/16 12:28,2016,2,Friday,12,Part Two,RANELEGH RD,42.35669272,-71.16087538,"(42.35669272, -71.16087538)"
I162015199,1874,Drug Violation,DRUGS - OTHER,B2,282,,2/26/16 12:24,2016,2,Friday,12,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I162015198,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,486,,2/26/16 10:51,2016,2,Friday,10,Part Two,RUSKINDALE RD,42.26637292,-71.10366543,"(42.26637292, -71.10366543)"
I162015194,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B2,298,,2/26/16 11:30,2016,2,Friday,11,Part Two,ROCKLAND ST,42.3226803,-71.0854831,"(42.32268030, -71.08548310)"
I162015180,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,486,,2/26/16 10:49,2016,2,Friday,10,Part Two,RUSKINDALE RD,42.26637292,-71.10366543,"(42.26637292, -71.10366543)"
I162015180,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E18,486,,2/26/16 10:49,2016,2,Friday,10,Part Two,RUSKINDALE RD,42.26637292,-71.10366543,"(42.26637292, -71.10366543)"
I162015180,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,E18,486,,2/26/16 10:49,2016,2,Friday,10,Part Two,RUSKINDALE RD,42.26637292,-71.10366543,"(42.26637292, -71.10366543)"
I162015180,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,E18,486,,2/26/16 10:49,2016,2,Friday,10,Part Two,RUSKINDALE RD,42.26637292,-71.10366543,"(42.26637292, -71.10366543)"
I162015172,1845,Drug Violation,DRUGS - POSS CLASS D,C11,350,,2/26/16 10:00,2016,2,Friday,10,Part Two,DORCHESTER AVE,42.30308131,-71.05945101,"(42.30308131, -71.05945101)"
I162015051,1845,Drug Violation,DRUGS - POSS CLASS D,B2,587,,2/25/16 19:50,2016,2,Thursday,19,Part Two,TREMONT ST,42.33189345,-71.09781238,"(42.33189345, -71.09781238)"
I162015045,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,105,,2/25/16 19:30,2016,2,Thursday,19,Part Two,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
I162015044,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B2,616,,2/25/16 19:00,2016,2,Thursday,19,Part Two,HUNTINGTON AVE,42.335926,-71.100323,"(42.33592600, -71.10032300)"
I162015036,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,932,,2/25/16 19:51,2016,2,Thursday,19,Part Two,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)"
I162015031,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,D4,167,,2/25/16 19:24,2016,2,Thursday,19,Part Two,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162015018,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1, ,,2/25/16 18:00,2016,2,Thursday,18,Part Two,HARRISON AVE,42.34285014,-71.06516235,"(0.00000000, 0.00000000)"
I162015018,1874,Drug Violation,DRUGS - OTHER,A1, ,,2/25/16 18:00,2016,2,Thursday,18,Part Two,GAINSBOROUGH ST,,,"(0.00000000, 0.00000000)"
I162015013,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,77,,2/25/16 0:00,2016,2,Thursday,0,Part Two,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I162015000,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,C6,914,,2/25/16 17:25,2016,2,Thursday,17,Part Two,HENRY STERLING SQ,42.32648547,-71.05487817,"(42.32648547, -71.05487817)"
I162014958,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,B2,280,,2/25/16 15:00,2016,2,Thursday,15,Part Two,WARREN ST,42.32902469,-71.08341505,"(42.32902469, -71.08341505)"
I162014929,1845,Drug Violation,DRUGS - POSS CLASS D,B2,328,,2/25/16 13:28,2016,2,Thursday,13,Part Two,QUINCY ST,42.31210601,-71.07256779,"(42.31210601, -71.07256779)"
I162014912,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,355,,2/25/16 13:26,2016,2,Thursday,13,Part Two,GENEVA AVE,42.28414189,-71.14485739,"(0.00000000, 0.00000000)"
I162014909,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,378,,2/25/16 12:35,2016,2,Thursday,12,Part Two,NEPONSET AVE,42.2874493,-71.04627602,"(42.28744930, -71.04627602)"
I162014900,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E5,691,,2/25/16 12:45,2016,2,Thursday,12,Part Two,CENTRE ST,42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
